,No,Zone,Constituency,Ward No and Loc,address_to_use,places_status,lat,lng,latlong
0,1,East,Hebbal,18 Radhakrishna Temple,New BEL Main Road Opp Fresh world Super Market Sanjaynagar post Bangalore - 560094,OK,13.0390755,77.5641546,"['OK', '13.0390755', '77.5641546']"
1,1,East,Hebbal,19 Sanjaynagar,Sanjaynagar Main road Beside BWSSB office Opp Radhakrishna Temple Sanjay Nagar Post Bangalore - 560094,ZERO_RESULTS,,,"['ZERO_RESULTS', nan, nan]"
2,1,East,Hebbal,20 Ganganagar,"Bellari Road CBI Bus Stop, Hebbal BBMP North Bangalore - 560032",ZERO_RESULTS,,,"['ZERO_RESULTS', nan, nan]"
3,1,East,Hebbal,21 Hebbala,"Bellari Road SBM Colony, Anand Nagar UAS Compus Bus stop Hebbal Bangalore - 560032",OK,13.0300432,77.5878517,"['OK', '13.0300432', '77.5878517']"
4,1,East,Hebbal,22 Nagenahalli,Bellari Road Near Hebbal Bus Stop Opp Hebbal Flyover Bangalore - 560032,OK,13.0427009,77.5900968,"['OK', '13.0427009', '77.5900968']"
5,1,East,Hebbal,33 Manorayanapalya,"4th Cross, Venkateshamappa Layout Chamindu Nagar, RT Nagar Near Shalini Bar Bangalore - 560032",ZERO_RESULTS,,,"['ZERO_RESULTS', nan, nan]"
6,1,East,Hebbal,34 Gangenahalli,"RT Nagar Main Road Behind Vishnu Garden Hotel Near RT Nagar Post Office, Gangenahalli Bangalore - 560032",OK,13.0203049,77.5923383,"['OK', '13.0203049', '77.5923383']"
7,1,East,Hebbal,46 Jayachamarajendra Nagar,"Munireddy Palya JC Nagar main Road Opp Fun World, Snow cety JC Nagar, Bangalore - 560006",OK,13.0057596,77.5920609,"['OK', '13.0057596', '77.5920609']"
9,2,East,Shivajinagar,62 Ramaswamy Palya,"24, 2nd Main Road Chinnappa Garden Benson town Near ganesha temple Bangalore",OK,13.0052634,77.6036601,"['OK', '13.0052634', '77.6036601']"
10,2,East,Shivajinagar,63 Jayamahal,Rajiva Gandhi Coloney Dr HM Nayak circle Queens road/ Thimmaiah road Bangalore,ZERO_RESULTS,,,"['ZERO_RESULTS', nan, nan]"
11,2,East,Shivajinagar,90 Halsur,"74, Bazar street, Udani Layout Near by Ulsoor police station Bangalore",OK,12.974468,77.625861,"['OK', '12.9744680', '77.6258610']"
12,2,East,Shivajinagar,91 Bharathinagar,Near Rusell market Marys Basillica Church Shivaji Nagar police station Bangalore,OK,12.9849553,77.6059065,"['OK', '12.9849553', '77.6059065']"
13,2,East,Shivajinagar,92 Shivajinagar,Sulthnji Gunta Road Near by broad way police station Bangalore,OK,12.9878921,77.6036237,"['OK', '12.9878921', '77.6036237']"
14,2,East,Shivajinagar,93 Vasanthanagar,NearMahaveer Jain Hospital Miller RoadBangalore,ZERO_RESULTS,,,"['ZERO_RESULTS', nan, nan]"
15,2,East,Shivajinagar,110 Sampangiramanagar,"Near Halsur gate police station corporation circle, BBMP Office Bangalore",OK,12.9667518,77.5871444,"['OK', '12.9667518', '77.5871444']"
17,3,East,Sarvagnanagar,23 Nagavara,"Vyalikaval HBES Layout Nagavara, Bangalore - 560045",OK,13.0375202,77.6115424,"['OK', '13.0375202', '77.6115424']"
18,3,East,Sarvagnanagar,24 H.B.R Layout,HBR Layout Near 6thCross road stage 1 kadugondanahalli Bangalore - 560045,OK,13.0209841,77.6239559,"['OK', '13.0209841', '77.6239559']"
19,3,East,Sarvagnanagar,27 Banaswadi,"100 feet rd HRBR Layout, Banasawadi Bangalore - 560043",OK,13.0169745,77.6512164,"['OK', '13.0169745', '77.6512164']"
20,3,East,Sarvagnanagar,28 Kammanahalli,Ramswami palya Lingaraja puram Bangalore - 560084,OK,13.008669,77.6341424,"['OK', '13.0086690', '77.6341424']"
21,3,East,Sarvagnanagar,29 Kacharakanahalli,"Kammanahalli Main Road St Thomas town, Bassappa layout Kacharakanahalli Bangalore - 560084",OK,13.0171014,77.6362725,"['OK', '13.0171014', '77.6362725']"
22,3,East,Sarvagnanagar,30 Kadugondanahalli,"9th Main Road Pillanna Garden 3rd Stage Arokkyamma Layout Kadugondanahalli, Bangalore - 560084",OK,13.0118988,77.6178214,"['OK', '13.0118988', '77.6178214']"
23,3,East,Sarvagnanagar,49 Lingarajapura,BDA Layout Lingrajapuram Bangalore - 560084,OK,13.0060027,77.6303438,"['OK', '13.0060027', '77.6303438']"
24,3,East,Sarvagnanagar,59 Maruthisevanagar,Maruthi Seva Nagar 5th Cross road Karnataka Housing board colony Bangalore - 560005,OK,12.9970127,77.6293823,"['OK', '12.9970127', '77.6293823']"
26,4,East,C.V.Ramannagar,50 Benaganahalli,Old Byappanahalli road MS Nagar post Bangalore - 560033,OK,12.995994,77.642559,"['OK', '12.9959940', '77.6425590']"
27,4,East,C.V.Ramannagar,57 C.V.Ramannagar,CV Raman Nagar Shiva Bhuvaneshwari Nagar Bangalore - 560093,OK,12.9847664,77.6654569,"['OK', '12.9847664', '77.6654569']"
28,4,East,C.V.Ramannagar,58 Hosa Thippasandra,1st Cross orad HAL 3rd Stage New Thippasandra Bangalore - 560075,OK,12.9820646,77.6486731,"['OK', '12.9820646', '77.6486731']"
29,4,East,C.V.Ramannagar,79 Sarvagnanagar,28 MM Road Doddigunta near cox town circle Bangalore - 56005,OK,12.9957396,77.6216,"['OK', '12.9957396', '77.6216000']"
30,4,East,C.V.Ramannagar,80 Hoysalanagar,Near Sadasivam road Adarsha Teatre murphy townUlsoor - 560008,OK,13.0486625,80.2361775,"['OK', '13.0486625', '80.2361775']"
31,4,East,C.V.Ramannagar,88 Jeevanbhimanagar,Dos Colony Jeevanbhima nagar Bangalore - 560075,OK,12.966897,77.6546863,"['OK', '12.9668970', '77.6546863']"
32,4,East,C.V.Ramannagar,113 Konena Agrahara,"Opp Suchithra Biriyani house Old Airport Road, Murgeshpalya, HAL post Bangalore - 560017",OK,12.9591654,77.6550611,"['OK', '12.9591654', '77.6550611']"
34,5,East,Pulakeshinagar,31 Kushalanagar,INSIDE GOVT HOSPITAL COMPOUND NEAR KG HALLI POLICE STATION NAGAVAR MAIN ROAD BANGALORE - 560046,ZERO_RESULTS,,,"['ZERO_RESULTS', nan, nan]"
35,5,East,Pulakeshinagar,32 Kavalbyrasandra,"NEAR PUSHPANJALI TALKIES SULTANAPALYA MAIN ROAD SULTANPALYA, RT NAGAR POST BANGALURU KARNATAKA - 560032",OK,13.0220834,77.6032603,"['OK', '13.0220834', '77.6032603']"
36,5,East,Pulakeshinagar,47 Devarajeevanahalli,VARALAXMI NAGAR KAVALABYRASANDRA RT NAGAR POST BANGALORE – 560032,ZERO_RESULTS,,,"['ZERO_RESULTS', nan, nan]"
37,5,East,Pulakeshinagar,48 Muneshwaranagar,SHAMPURA MAIN ROAD NEAR DEVARA JEEVANAHALLI NEW POLICE STATION BANGALORE - 560045,OK,13.0114917,77.6131635,"['OK', '13.0114917', '77.6131635']"
38,5,East,Pulakeshinagar,60 Sagayapuram,"NO 21 NEW BAGALUR LAYOUT MAIN ROAD BAGALUR LAYOUT SAGAYAPUR, RICHARD TOWN OPPOSITE ST CHARLS HIGH SCHOOL BANGALORE – 560084",OK,13.0068089,77.6217787,"['OK', '13.0068089', '77.6217787']"
39,5,East,Pulakeshinagar,61 S.K.Garden,NEAR ANANDA THEATER OPP DJ HALLI OLD POLICE STATION DJ HALLI MAIN ROAD BANGALORE - 560045,OK,13.0114917,77.6131635,"['OK', '13.0114917', '77.6131635']"
40,5,East,Pulakeshinagar,78 Pulakeshinagar,"MORE ROAD, FRAZER TOWN BANGALORE - 560005",OK,12.9986941,77.6125998,"['OK', '12.9986941', '77.6125998']"
42,6,East,Shanthinagar,89 Jogupalya,"Udani Layout, Jogupalya, Bengaluru - 560008",OK,12.9733641,77.6274796,"['OK', '12.9733641', '77.6274796']"
43,6,East,Shanthinagar,111 Shantalanagar,"Markham road, Ashok Nagar Bengaluru - 560025",OK,12.9693597,77.6085402,"['OK', '12.9693597', '77.6085402']"
44,6,East,Shanthinagar,112 Domlur,"2nd Cross Road, stage 2, Domlur, Bengaluru - 560071",OK,12.9629805,77.6380285,"['OK', '12.9629805', '77.6380285']"
45,6,East,Shanthinagar,114 Agara,"Sri Traders, John Bull Road, Jayaraj Nagar, Bengaluru - 560047",OK,12.961299,77.617865,"['OK', '12.9612990', '77.6178650']"
46,6,East,Shanthinagar,115 Vanarpete,"Mecon Quarters, Austin Town, Neelasandra, Bengaluru - 560047.",OK,12.9575603,77.6164698,"['OK', '12.9575603', '77.6164698']"
47,6,East,Shanthinagar,116 Neelasandra,"Lakshman Rao Nagar, Dr Ambedkar Nagar, Anepalya, Adugodi, Bengaluru - 560047",OK,12.9499023,77.6164006,"['OK', '12.9499023', '77.6164006']"
48,6,East,Shanthinagar,117 Shanthinagar,"Nst, Anugraha Layout, Lang Ford Town, Shanthinagar, Bengaluru - 560025",ZERO_RESULTS,,,"['ZERO_RESULTS', nan, nan]"
50,7,West,Chamrajpet,135 Padarayanapura,"Goripalya Bus Stop, opposite to JJR Nagar Police Station",OK,12.964135,77.5551804,"['OK', '12.9641350', '77.5551804']"
51,7,West,Chamrajpet,136 Jagajivanaram Nagar,Hale Guddadhahalli Bus Stop Bangalore,OK,12.9564925,77.5485048,"['OK', '12.9564925', '77.5485048']"
52,7,West,Chamrajpet,137 Rayapuram,"Mysore circle, CAR Police Ground Bangalore",OK,12.9621942,77.5617864,"['OK', '12.9621942', '77.5617864']"
53,7,West,Chamrajpet,138 Chalavadi,"Near Vinayaka Theatre, Beside Govt Vetenary Hospital Bangalore",ZERO_RESULTS,,,"['ZERO_RESULTS', nan, nan]"
54,7,West,Chamrajpet,139 KR Market,"Minto Eye Hospital, Opposite to VV Puram Police Station Bangalore",OK,12.9608878,77.5718855,"['OK', '12.9608878', '77.5718855']"
55,7,West,Chamrajpet,140 Chamrajpet,"Eedga Maidana, Opposite to BWSSB Bangalore",ZERO_RESULTS,,,"['ZERO_RESULTS', nan, nan]"
56,7,West,Chamrajpet,141 Azad Nagar,Opposite to Jinke Park Bangalore,ZERO_RESULTS,,,"['ZERO_RESULTS', nan, nan]"
58,8,West,Gandhi Nagar,94 Gandhinagar,Shantala Circale Road Near Kempegouda Metro station Bangalore - 560053,ZERO_RESULTS,,,"['ZERO_RESULTS', nan, nan]"
59,8,West,Gandhi Nagar,95 Subhashnagar,"Nest to Metro Station, Near Mantri Hall (Square) Opp Sri Ragavendra Swami math Bangalore - 560020",OK,12.9905452,77.5708049,"['OK', '12.9905452', '77.5708049']"
60,8,West,Gandhi Nagar,77 Dattatreya Temple,Near KC General Hospital malleshwaram Bangalore - 560003,OK,12.9961428,77.569358,"['OK', '12.9961428', '77.5693580']"
61,8,West,Gandhi Nagar,109 Chikpet,Near State Bank of India Kempegouda Road (Avenue Road) Bangalore - 560002,OK,12.9739937,77.5783156,"['OK', '12.9739937', '77.5783156']"
62,8,West,Gandhi Nagar,120 Cottonpet,Benny Mail Canteen KP Agrahara Bangalore - 560023,ZERO_RESULTS,,,"['ZERO_RESULTS', nan, nan]"
63,8,West,Gandhi Nagar,121 Binnypet,"2nd Cross, Magadi Road Benny pet,Near Water Tank Bangalore - 560023",OK,12.9758059,77.5494919,"['OK', '12.9758059', '77.5494919']"
65,9,West,Govindraj Nagar,103 Kaveripura,tank Vijayanagar Bangalore - 560040,ZERO_RESULTS,,,"['ZERO_RESULTS', nan, nan]"
66,9,West,Govindraj Nagar,105 Agrahara Dasarahalli,"Next to Govt Meternity Hospetial MC Layout, Agrahara Dasarahalli Bangalore - 560040",OK,12.9770977,77.5429519,"['OK', '12.9770977', '77.5429519']"
67,9,West,Govindraj Nagar,104 Govindarajanagar,West of Chord Road CHBS Layout Next to Vijayanagar water,OK,12.973383,77.5381136,"['OK', '12.9733830', '77.5381136']"
68,9,West,Govindraj Nagar,106 Dr.Rajkumar Ward,"20th Main Road, 5th Block, Near SBI bank Rajajinagar Industrial Town Rajajinagar, Bangalore - 560023",OK,12.9857393,77.5525538,"['OK', '12.9857393', '77.5525538']"
69,9,West,Govindraj Nagar,125 Marenahalli,"#106, 12th Main Road Marenahalli Nagarabhavi Main Road Bangalore - 560040",INVALID_REQUEST,,,"['INVALID_REQUEST', nan, nan]"
70,9,West,Govindraj Nagar,126 Maruthi Mandira Ward,"GK Layout, Next to GKW Layout main bus stop Vijayanagar, Bangalore - 560040",OK,12.9681616,77.5285532,"['OK', '12.9681616', '77.5285532']"
71,9,West,Govindraj Nagar,127 Moodalapalya,"#48, 4th Main Road Byraveshwaranagar Next to Moodalapalya Ward Office Bangalore - 560072",INVALID_REQUEST,,,"['INVALID_REQUEST', nan, nan]"
72,9,West,Govindraj Nagar,128 Nagarabhavi,"#99, 6Th Cross Road BDA Layout, M Joseph Road Next to Bangalore One Bangalore - 560040",INVALID_REQUEST,,,"['INVALID_REQUEST', nan, nan]"
73,9,West,Govindraj Nagar,131 Nayandahalli,"Nayandahalli Service Road Near Indian Petrol Bunk Mysore Road, Nayandahalli Bangalore - 560039",OK,12.9447501,77.5288563,"['OK', '12.9447501', '77.5288563']"
75,10,West,Mahalakshmi Layout,43 Nandini Layout,"1st Main, Jai Maruthi Nagar, Opp ESI quatress Nandini Layout Bangalore - 560096",OK,13.0096906,77.5342307,"['OK', '13.0096906', '77.5342307']"
76,10,West,Mahalakshmi Layout,44 Marappanapalya,Rehaman Khan road Near Ullas Theatre Yashvantpur Bangalore - 560010,ZERO_RESULTS,,,"['ZERO_RESULTS', nan, nan]"
77,10,West,Mahalakshmi Layout,74 Shakti Ganapathiinagar,"15th Main road, 3rd stage 4th Block, Basaveswaranagar water tank Sakti ganapathi nagar Bangalore - 560079",OK,12.9955423,77.5365579,"['OK', '12.9955423', '77.5365579']"
78,10,West,Mahalakshmi Layout,75 Shankaramatha,"11th Main Road Pipe line road Kaverinagar, Kurubarahalli Bangalore - 560079",ZERO_RESULTS,,,"['ZERO_RESULTS', nan, nan]"
79,10,West,Mahalakshmi Layout,67 Nagapura,"20th Main, 1st Block Rajajinagar opp star circle Bangalore - 560010",OK,13.0008995,77.549787,"['OK', '13.0008995', '77.5497870']"
80,10,West,Mahalakshmi Layout,68 Mahalakshmipuram,West of Chord roadBMRCL Parking place Mahalaxmipuram opp to ISKON temple Bangalore - 560086,ZERO_RESULTS,,,"['ZERO_RESULTS', nan, nan]"
81,10,West,Mahalakshmi Layout,102 Vrishabavathinagar,"14th Cross, opp Shankarnag Bus stop NGO colony, Kamalanagara bangalore - 560079",ZERO_RESULTS,,,"['ZERO_RESULTS', nan, nan]"
83,11,West,Malleshwaram,35 Palace Nagar Aramane Nagara,18th Cross Mariamma Circle Opp Circle Mariamma Temple Next to Ammani Collage Bangalore-560003,OK,12.9911885,77.5678271,"['OK', '12.9911885', '77.5678271']"
84,11,West,Malleshwaram,36 Mathikere,Opp masjid-e-taha M S Ramaiah Road Mathikere Bangalore-560054,ZERO_RESULTS,,,"['ZERO_RESULTS', nan, nan]"
85,11,West,Malleshwaram,45 Malleshwaram,8th Main Next to Mysore Lamp Malleshwaram Bangalore-560003,OK,13.0150381,77.5585834,"['OK', '13.0150381', '77.5585834']"
86,11,West,Malleshwaram,64 Rajamahal Guttahalli,Mosque Road Opp Jamia Masjid Raj Mahal Guttahalli Palace Guttahalli Bangalore-560003,ZERO_RESULTS,,,"['ZERO_RESULTS', nan, nan]"
87,11,West,Malleshwaram,65 Kadu Malleshwaram,18th Cross Bus Stand Malleshwaram Bangalore-560003,OK,13.009787,77.569111,"['OK', '13.0097870', '77.5691110']"
88,11,West,Malleshwaram,66 Subramanyanagar,17th Cross Tank Bun Road Near Vivekenandha Collage 2nd Stage Rajaji Nagar Bangalore-560010,OK,13.0081294,77.5546843,"['OK', '13.0081294', '77.5546843']"
89,11,West,Malleshwaram,76 Gayathrinagar,"1st Cross, 1st Main Road Gayathri Nagar Bangalore - 560021",OK,13.0007493,77.5581839,"['OK', '13.0007493', '77.5581839']"
91,12,West,Rajaji Nagar,97 Dayanandanagar,"6th Cross, 9th Main Srirampura reparal hospital Srirampura, Bangalore - 560021",OK,12.9906562,77.5649125,"['OK', '12.9906562', '77.5649125']"
92,12,West,Rajaji Nagar,98 Prakashnagar,"11th Block 'C' Cross, Mariappana Palya Beside Mahakave Kuvempu Metro Station Bangalore - 560021",ZERO_RESULTS,,,"['ZERO_RESULTS', nan, nan]"
93,12,West,Rajaji Nagar,99 Rajajinagar,"2nd Phase, 3rd Cross, 8th Main Beside Sri Kannka Parameshwari Temple Manjunatha Nagar Bangalore - 560010",OK,12.9919898,77.5359721,"['OK', '12.9919898', '77.5359721']"
94,12,West,Rajaji Nagar,101 Kamakshipalya,Magadi Main Road Beside Vishal Theater & Dhananjaya palace 100 meters from Kamakshipalya bus stand Bangalore - 560079,OK,12.9831801,77.5301753,"['OK', '12.9831801', '77.5301753']"
96,13,South,BTM Layout,146 Lakkasandra,Near Prestige Techno policy and Christ college Bengalore - 560029,OK,12.9344168,77.6060171,"['OK', '12.9344168', '77.6060171']"
97,13,South,BTM Layout,147 Adugodi,Near Adugodi traffic Police station Bangalore - 560030,OK,12.941559,77.6086805,"['OK', '12.9415590', '77.6086805']"
98,13,South,BTM Layout,148 Ejipura,"Near BBMP hot mix plant and Revenue collection office NGV, Bangalore - 560047",ZERO_RESULTS,,,"['ZERO_RESULTS', nan, nan]"
99,13,South,BTM Layout,151 Koramangala,"Madiwala Market road Kudhre mukka coloni Kormangala, Bangalore - 560034",ZERO_RESULTS,,,"['ZERO_RESULTS', nan, nan]"
100,13,South,BTM Layout,152 Sudduguntepalya,"# 2 Main 2 nd Cross Maruthi Nagar, Madiwala Bangalore - 560068",INVALID_REQUEST,,,"['INVALID_REQUEST', nan, nan]"
101,13,South,BTM Layout,172 Madivala,Murthy Nagar main road BTM First Stage Near Bangalore one Office Bangalore - 560029,OK,12.97336,77.561063,"['OK', '12.9733600', '77.5610630']"
102,13,South,BTM Layout,173 Jakkasandra,Near Green view Hospital In front of agara lake Bangalore - 560034,OK,12.9191291,77.6381231,"['OK', '12.9191291', '77.6381231']"
103,13,South,BTM Layout,176 BTM Layout,"12th Cross road, MS Palya BTM 2nd Stage Near home needs super market Bangalore - 560076",ZERO_RESULTS,,,"['ZERO_RESULTS', nan, nan]"
105,14,South,Basavanagudi,154 Basavanagudi,In front of SSM Public School Chennammana Kere Park Bangalore,OK,12.9327635,77.5637244,"['OK', '12.9327635', '77.5637244']"
106,14,South,Basavanagudi,155 Hanumanthanagar,Jinke Park In front of Rajiv Gandhi sports complex Bangalore,OK,12.9511227,77.5552905,"['OK', '12.9511227', '77.5552905']"
107,14,South,Basavanagudi,156 Sriinagar,Srinagar Bus Stop Opp Srinagar Hospital Bangalore,OK,12.9444069,77.5546595,"['OK', '12.9444069', '77.5546595']"
108,14,South,Basavanagudi,162 Girinagar,Vidyanagar Bus stop Behind Hoskerahalli Indian oil petrol bunk Bangalore,OK,12.9324902,77.5414761,"['OK', '12.9324902', '77.5414761']"
109,14,South,Basavanagudi,163 Kathriguppe,Kattriguppe Water tank Near BWSSB Office bangalore,OK,12.9301119,77.5472029,"['OK', '12.9301119', '77.5472029']"
